Horizon,Feature,Importance
0w,Month_02,56.326347
0w,∆ Salmon (NOK/KG) 1w,43.673653
0w,ISA Outbreak 1m,0.0
0w,CPI NO Monthly,0.0
0w,∆ EURNOK 12m,0.0
0w,∆ EURNOK 6m,0.0
0w,∆ EURNOK 3m,0.0
0w,∆ EURNOK 1m,0.0
0w,∆ EURNOK 2w,0.0
0w,∆ EURNOK 1w,0.0
0w,∆ EURNOK,0.0
0w,ISA Outbreak 3m,0.0
0w,ISA Outbreak,0.0
0w,Smolt Release 18m Monthly,0.0
0w,Smolt Release 17m Monthly,0.0
0w,Smolt Release 16m Monthly,0.0
0w,Smolt Release 15m Monthly,0.0
0w,Smolt Release 14m Monthly,0.0
0w,Smolt Release 13m Monthly,0.0
0w,Smolt Release 12m Monthly,0.0
0w,Smolt Release 11m Monthly,0.0
0w,Smolt Release 10m Monthly,0.0
0w,NIBOR 3m,0.0
0w,∆ Shrimp Price (Global) 1m Monthly,0.0
0w,∆ Shrimp Price (Global) 3m Monthly,0.0
0w,∆ Shrimp Price (Global) 6m Monthly,0.0
0w,Month_10,0.0
0w,Month_09,0.0
0w,Month_08,0.0
0w,Month_07,0.0
0w,Month_06,0.0
0w,Month_05,0.0
0w,Month_04,0.0
0w,Month_03,0.0
0w,Month_01,0.0
0w,Soybean FWD Curvature,0.0
0w,Soybean FWD Slope,0.0
0w,Brent FWD Curvature,0.0
0w,Brent FWD Slope,0.0
0w,∆ Fishmeal 12m Monthly,0.0
0w,∆ Fishmeal 6m Monthly,0.0
0w,∆ Fishmeal 3m Monthly,0.0
0w,∆ Fishmeal 1m Monthly,0.0
0w,Meat CPI (EU) Monthly,0.0
0w,∆ Shrimp Price (Global) 12m Monthly,0.0
0w,Smolt Release 9m Monthly,0.0
0w,Smolt Release 8m Monthly,0.0
0w,Smolt Release 7m Monthly,0.0
0w,FWD Slope,0.0
0w,FWD 12m,0.0
0w,∆ FWD 6m,0.0
0w,FWD 6m,0.0
0w,∆ FWD 3m,0.0
0w,FWD 3m,0.0
0w,∆ FWD 1m,0.0
0w,FWD 1m,0.0
0w,∆ Spread (FP - SSB),0.0
0w,Spread (FP - SSB),0.0
0w,RVol 52w,0.0
0w,RVol 13w,0.0
0w,RVol 4w,0.0
0w,Acc 1m,0.0
0w,Acc 1w,0.0
0w,∆ Salmon (NOK/KG) 12m,0.0
0w,∆ Salmon (NOK/KG) 6m,0.0
0w,∆ Salmon (NOK/KG) 3m,0.0
0w,∆ Salmon (NOK/KG) 1m,0.0
0w,∆ Salmon (NOK/KG) 2w,0.0
0w,∆ FWD 12m,0.0
0w,FWD Curvature,0.0
0w,Smolt Release 6m Monthly,0.0
0w,∆ Export Volume 1w,0.0
0w,Smolt Release 5m Monthly,0.0
0w,Smolt Release 4m Monthly,0.0
0w,Smolt Release 3m Monthly,0.0
0w,Smolt Release 2m Monthly,0.0
0w,Loss Rate 6m Monthly,0.0
0w,Loss Rate 3m Monthly,0.0
0w,Loss Rate 1m Monthly,0.0
0w,Harvest Intensity 3m Monthly,0.0
0w,Harvest Intensity 1m Monthly,0.0
0w,YOY Avg Weight (KG) Monthly,0.0
0w,Avg Weight (KG) Monthly,0.0
0w,∆YOY Total Biomass Monthly,0.0
0w,∆ Total Biomass Monthly,0.0
0w,∆ Chilean Exports 3m,0.0
0w,∆ Chilean Exports 1m,0.0
0w,∆ Chilean Exports 2w,0.0
0w,∆ Chilean Exports 1w,0.0
0w,∆ Export Volume 1m,0.0
0w,∆ Export Volume 2w,0.0
0w,Month_11,0.0
