Horizon,Fold,Feature,Importance
12m,1,∆ Salmon (NOK/KG) 1w,0.0
12m,1,∆ Salmon (NOK/KG) 2w,0.0
12m,1,∆ Salmon (NOK/KG) 1m,0.0
12m,1,∆ Salmon (NOK/KG) 3m,0.0
12m,1,∆ Salmon (NOK/KG) 6m,0.0
12m,1,∆ Salmon (NOK/KG) 12m,0.0
12m,1,Acc 1w,0.0
12m,1,Acc 1m,0.0
12m,1,RVol 4w,0.0
12m,1,RVol 13w,0.0
12m,1,RVol 52w,0.0
12m,1,Spread (FP - SSB),0.0031612670569300563
12m,1,∆ Spread (FP - SSB),0.0
12m,1,FWD 1m,0.0
12m,1,∆ FWD 1m,0.0
12m,1,FWD 3m,0.0
12m,1,∆ FWD 3m,0.0
12m,1,FWD 6m,0.0
12m,1,∆ FWD 6m,0.0
12m,1,FWD 12m,0.0
12m,1,∆ FWD 12m,0.0
12m,1,FWD Slope,0.0
12m,1,FWD Curvature,0.0
12m,1,∆ Export Volume 1w,0.0
12m,1,∆ Export Volume 2w,0.0
12m,1,∆ Export Volume 1m,0.0
12m,1,∆ Chilean Exports 1w,0.0
12m,1,∆ Chilean Exports 2w,0.0
12m,1,∆ Chilean Exports 1m,0.0
12m,1,∆ Chilean Exports 3m,0.0
12m,1,∆ Total Biomass Monthly,0.0
12m,1,∆YOY Total Biomass Monthly,0.0
12m,1,Avg Weight (KG) Monthly,0.0
12m,1,YOY Avg Weight (KG) Monthly,0.0
12m,1,Harvest Intensity 1m Monthly,0.0
12m,1,Harvest Intensity 3m Monthly,0.0
12m,1,Loss Rate 1m Monthly,0.0
12m,1,Loss Rate 3m Monthly,0.0
12m,1,Loss Rate 6m Monthly,0.0
12m,1,Smolt Release 2m Monthly,0.0
12m,1,Smolt Release 3m Monthly,0.0
12m,1,Smolt Release 4m Monthly,0.0
12m,1,Smolt Release 5m Monthly,0.0
12m,1,Smolt Release 6m Monthly,0.0
12m,1,Smolt Release 7m Monthly,0.0
12m,1,Smolt Release 8m Monthly,0.0
12m,1,Smolt Release 9m Monthly,0.0
12m,1,Smolt Release 10m Monthly,0.0
12m,1,Smolt Release 11m Monthly,0.0
12m,1,Smolt Release 12m Monthly,0.0
12m,1,Smolt Release 13m Monthly,0.0
12m,1,Smolt Release 14m Monthly,0.0
12m,1,Smolt Release 15m Monthly,0.0
12m,1,Smolt Release 16m Monthly,0.0
12m,1,Smolt Release 17m Monthly,0.0
12m,1,Smolt Release 18m Monthly,0.0
12m,1,ISA Outbreak,0.0
12m,1,ISA Outbreak 1m,0.001769438640264276
12m,1,ISA Outbreak 3m,0.0
12m,1,Lice Outbreak,0.0
12m,1,Lice Outbreak 1m,0.0
12m,1,Lice Outbreak 3m,0.0
12m,1,Sea Temp,0.0
12m,1,Sea Temp 12m Avg,0.0
12m,1,∆ EURNOK,0.0
12m,1,∆ EURNOK 1w,0.0
12m,1,∆ EURNOK 2w,0.0
12m,1,∆ EURNOK 1m,0.0
12m,1,∆ EURNOK 3m,0.0
12m,1,∆ EURNOK 6m,0.0
12m,1,∆ EURNOK 12m,0.0
12m,1,CPI NO Monthly,0.0
12m,1,NIBOR 3m,0.0
12m,1,∆ Shrimp Price (Global) 1m Monthly,0.0
12m,1,∆ Shrimp Price (Global) 3m Monthly,0.0
12m,1,∆ Shrimp Price (Global) 6m Monthly,0.0
12m,1,∆ Shrimp Price (Global) 12m Monthly,0.0
12m,1,∆ Broiler Price (EU) 1w,0.0
12m,1,∆ Broiler Price (EU) 2w,0.0
12m,1,∆ Broiler Price (EU) 1m,0.0
12m,1,∆ Broiler Price (EU) 3m,0.0
12m,1,∆ Broiler Price (EU) 6m,0.0
12m,1,∆ Broiler Price (EU) 12m,0.0
12m,1,∆ Pig Price (EU),0.0
12m,1,∆ Pig Price (EU) 1w,0.0
12m,1,∆ Pig Price (EU) 2w,0.0
12m,1,∆ Pig Price (EU) 1m,0.0
12m,1,∆ Pig Price (EU) 3m,0.0
12m,1,∆ Pig Price (EU) 6m,0.0
12m,1,∆ Pig Price (EU) 12m,0.0
12m,1,Meat CPI (EU) Monthly,0.0
12m,1,∆ Fishmeal 1m Monthly,0.0
12m,1,∆ Fishmeal 3m Monthly,0.0
12m,1,∆ Fishmeal 6m Monthly,0.0
12m,1,∆ Fishmeal 12m Monthly,0.0
12m,1,Brent FWD Slope,0.0
12m,1,Brent FWD Curvature,0.0
12m,1,Soybean FWD Slope,0.0
12m,1,Soybean FWD Curvature,0.0
12m,1,Month_01,0.0
12m,1,Month_02,0.0
12m,1,Month_03,0.0
12m,1,Month_04,0.0
12m,1,Month_05,0.0
12m,1,Month_06,0.0
12m,1,Month_07,0.0
12m,1,Month_08,0.0
12m,1,Month_09,0.0
12m,1,Month_10,0.0
12m,1,Month_11,0.0
12m,2,∆ Salmon (NOK/KG) 1w,9.16819330181009e-05
12m,2,∆ Salmon (NOK/KG) 2w,0.00021527848415635743
12m,2,∆ Salmon (NOK/KG) 1m,0.002406541371261579
12m,2,∆ Salmon (NOK/KG) 3m,0.0014538005849774693
12m,2,∆ Salmon (NOK/KG) 6m,0.0004010234769354015
12m,2,∆ Salmon (NOK/KG) 12m,0.0023663413995190564
12m,2,Acc 1w,0.0025564256584641853
12m,2,Acc 1m,0.0
12m,2,RVol 4w,0.0032782226291999004
