Horizon,Feature,Importance
12m,FWD 12m,0.04188289037684414
12m,ISA Outbreak,0.018846982088489006
12m,FWD Slope,0.01300125211324644
12m,∆ Shrimp Price (Global) 3m Monthly,0.011302016423544243
12m,ISA Outbreak 1m,0.008747943251036326
12m,Soybean FWD Curvature,0.008314402418065844
12m,∆ Shrimp Price (Global) 12m Monthly,0.008006827510000276
12m,RVol 52w,0.006935939266867416
12m,∆ Shrimp Price (Global) 6m Monthly,0.006866413041166072
12m,Meat CPI (EU) Monthly,0.00638546663796299
12m,ISA Outbreak 3m,0.006143048422062286
12m,Spread (FP - SSB),0.005699527521513019
12m,FWD 3m,0.004136325974360152
12m,CPI NO Monthly,0.0037249102782642785
12m,∆ Fishmeal 3m Monthly,0.00312590001561152
12m,Harvest Intensity 3m Monthly,0.0026071959621914286
12m,FWD 1m,0.002259852086186168
12m,Harvest Intensity 1m Monthly,0.0021011214053348348
12m,FWD 6m,0.0017054341722901943
12m,∆YOY Total Biomass Monthly,0.0015499793597955815
12m,NIBOR 3m,0.0014941782247900122
12m,∆ Fishmeal 12m Monthly,0.001403556653931971
12m,Brent FWD Slope,0.0013203167244009702
12m,Smolt Release 16m Monthly,0.0012822107438281954
12m,YOY Avg Weight (KG) Monthly,0.0012454950617137432
12m,∆ Salmon (NOK/KG) 3m,0.0012414558511403921
12m,Smolt Release 12m Monthly,0.001161042080927298
12m,Smolt Release 10m Monthly,0.0009010708836621215
12m,Smolt Release 17m Monthly,0.0008721980568636483
12m,Lice Outbreak 1m,0.0007481418583925686
12m,Sea Temp,0.0007328619346818844
12m,Smolt Release 6m Monthly,0.0007204563921819742
12m,FWD Curvature,0.0006764599135361957
12m,Brent FWD Curvature,0.0006739850065855711
12m,Soybean FWD Slope,0.0005124586669714962
12m,Smolt Release 13m Monthly,0.00037414134985063645
12m,Smolt Release 11m Monthly,0.00036177987101995127
12m,Smolt Release 14m Monthly,7.525876252191496e-05
12m,∆ Broiler Price (EU) 3m,0.0
12m,∆ Broiler Price (EU) 1w,0.0
12m,∆ Shrimp Price (Global) 1m Monthly,0.0
12m,∆ EURNOK 12m,0.0
12m,∆ Broiler Price (EU) 2w,0.0
12m,∆ Broiler Price (EU) 1m,0.0
12m,∆ Salmon (NOK/KG) 1w,0.0
12m,∆ Broiler Price (EU) 6m,0.0
12m,Month_01,0.0
12m,Month_10,0.0
12m,Month_09,0.0
12m,Month_08,0.0
12m,Month_07,0.0
12m,Month_06,0.0
12m,Month_05,0.0
12m,Month_04,0.0
12m,Month_03,0.0
12m,Month_02,0.0
12m,∆ Fishmeal 6m Monthly,0.0
12m,∆ Broiler Price (EU) 12m,0.0
12m,∆ Fishmeal 1m Monthly,0.0
12m,∆ Pig Price (EU) 12m,0.0
12m,∆ Pig Price (EU) 6m,0.0
12m,∆ EURNOK 3m,0.0
12m,∆ Pig Price (EU) 3m,0.0
12m,∆ Pig Price (EU) 1m,0.0
12m,∆ Pig Price (EU) 2w,0.0
12m,∆ Pig Price (EU) 1w,0.0
12m,∆ Pig Price (EU),0.0
12m,∆ EURNOK 6m,0.0
12m,Smolt Release 18m Monthly,0.0
12m,∆ EURNOK 1m,0.0
12m,∆ Chilean Exports 3m,0.0
12m,∆ Chilean Exports 2w,0.0
12m,∆ Chilean Exports 1w,0.0
12m,∆ Export Volume 1m,0.0
12m,∆ Export Volume 2w,0.0
12m,∆ Export Volume 1w,0.0
12m,∆ FWD 12m,0.0
12m,∆ FWD 6m,0.0
12m,∆ FWD 3m,0.0
12m,∆ FWD 1m,0.0
12m,∆ Spread (FP - SSB),0.0
12m,RVol 13w,0.0
12m,RVol 4w,0.0
12m,Acc 1m,0.0
12m,Acc 1w,0.0
12m,∆ Salmon (NOK/KG) 12m,0.0
12m,∆ Salmon (NOK/KG) 6m,0.0
12m,∆ Salmon (NOK/KG) 1m,0.0
12m,∆ Chilean Exports 1m,0.0
12m,∆ Total Biomass Monthly,0.0
12m,∆ EURNOK 2w,0.0
12m,Avg Weight (KG) Monthly,0.0
12m,∆ EURNOK 1w,0.0
12m,∆ EURNOK,0.0
12m,Sea Temp 12m Avg,0.0
12m,Lice Outbreak 3m,0.0
12m,Lice Outbreak,0.0
12m,∆ Salmon (NOK/KG) 2w,0.0
12m,Smolt Release 15m Monthly,0.0
12m,Smolt Release 9m Monthly,0.0
12m,Smolt Release 8m Monthly,0.0
12m,Smolt Release 7m Monthly,0.0
12m,Smolt Release 5m Monthly,0.0
12m,Smolt Release 4m Monthly,0.0
12m,Smolt Release 3m Monthly,0.0
12m,Smolt Release 2m Monthly,0.0
12m,Loss Rate 6m Monthly,0.0
12m,Loss Rate 3m Monthly,0.0
12m,Loss Rate 1m Monthly,0.0
12m,Month_11,0.0
